# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
3.30,0.00,1.70,1.14,4.92
3.31,0.00,0.60,0.06,5.01
3.32,0.00,0.00,0.06,5.05
3.32,0.00,-0.50,1.74,4.99
3.33,0.00,0.00,0.54,5.03
3.34,0.00,-1.00,0.06,5.07
nan,nan,nan,nan,nan
3.35,0.00,-2.10,1.02,5.03
3.36,0.00,3.30,0.06,5.07
3.36,0.00,1.70,1.02,5.03
3.37,0.00,0.00,0.00,5.07
3.38,0.00,2.20,1.02,5.01
3.38,0.00,2.80,1.14,4.96
3.39,0.00,0.60,0.06,5.01
3.40,0.00,0.00,1.62,4.94
3.41,0.00,-0.50,0.96,4.99
nan,nan,nan,nan,nan
3.41,0.00,1.10,0.96,4.94
3.42,0.00,2.20,0.06,5.01
3.43,0.00,1.10,0.06,5.05
3.44,0.00,3.80,1.14,4.99
3.44,0.00,3.80,0.00,5.05
3.45,0.00,1.10,1.32,4.99
3.46,0.00,1.70,0.00,5.03
3.46,0.00,0.60,0.00,5.07
3.47,0.00,1.10,1.08,5.01
3.48,0.00,2.20,1.98,4.94
3.49,0.00,0.00,0.06,5.01
3.49,0.00,0.60,0.90,4.96
3.50,0.00,1.10,0.00,5.01
nan,nan,nan,nan,nan
3.51,0.00,1.70,0.06,5.05
3.51,0.00,0.00,1.50,4.99
3.52,0.00,0.60,0.00,5.03
3.53,0.00,0.00,1.62,4.96
3.54,0.00,2.20,0.18,5.01
3.54,0.00,0.60,0.06,5.07
3.55,0.00,4.40,1.02,5.03
3.56,0.00,-1.00,1.44,4.96
3.57,0.00,-1.00,1.02,4.92
nan,nan,nan,nan,nan
3.57,0.00,0.60,0.00,4.99
3.58,0.00,3.30,0.24,5.03
3.59,0.00,1.70,0.06,5.07
3.60,0.00,-0.50,1.08,5.01
3.60,0.00,1.10,1.02,4.96
3.61,0.00,-2.10,0.06,5.01
3.62,0.00,0.60,0.78,4.99
nan,nan,nan,nan,nan
3.63,0.00,0.00,1.68,4.92
3.63,0.00,1.10,1.02,4.96
3.64,0.00,-1.60,0.96,4.90
3.65,0.00,0.60,0.06,4.96
3.66,0.00,-1.00,0.06,5.03
3.66,0.00,1.70,0.00,5.07
3.67,0.00,1.70,1.02,5.03
nan,nan,nan,nan,nan
3.68,0.00,0.60,1.26,4.96
3.69,0.00,0.60,0.06,5.01
3.69,0.00,-0.50,1.74,4.94
3.70,0.00,0.00,0.12,5.03
3.71,0.00,0.00,0.00,5.07
3.72,0.00,1.70,1.14,5.01
3.72,0.00,-1.00,1.08,4.94
3.73,0.00,-3.20,0.06,5.01
nan,nan,nan,nan,nan
3.74,0.00,1.70,0.00,5.05
3.75,0.00,0.00,1.20,4.99
3.76,0.00,0.00,1.02,4.96
3.76,0.00,2.80,0.06,5.01
3.77,0.00,0.00,0.06,5.05
3.78,0.00,1.10,0.00,5.09
3.78,0.00,1.10,1.02,5.03
3.79,0.00,0.60,1.98,4.96
3.80,0.00,-0.50,0.12,5.01
3.81,0.00,-1.60,1.02,4.99
nan,nan,nan,nan,nan
3.81,0.00,1.10,0.06,5.03
3.82,0.00,1.10,1.38,4.96
3.83,0.00,0.60,0.12,5.03
3.84,0.00,2.20,1.56,4.96
3.84,0.00,1.70,0.00,5.01
3.85,0.00,0.00,0.48,4.96
3.86,0.00,0.60,0.00,5.01
3.87,0.00,0.60,0.00,5.05
3.87,0.00,2.20,1.02,5.01
nan,nan,nan,nan,nan
3.88,0.00,2.80,1.14,4.94
3.89,0.00,-1.00,1.38,4.90
3.90,0.00,2.20,0.06,4.96
3.90,0.00,1.10,0.06,5.01
3.91,0.00,0.60,0.00,5.05
3.92,0.00,1.70,1.92,4.99
3.93,0.00,0.00,0.06,5.03
3.93,0.00,-1.00,1.92,4.96
nan,nan,nan,nan,nan
3.94,0.00,0.00,0.06,5.05
3.95,0.00,0.60,0.96,4.99
3.95,0.00,0.00,0.06,5.03
3.96,0.00,0.60,0.00,5.07
3.97,0.00,0.60,0.90,5.01
3.98,0.00,-2.10,0.00,5.05
3.98,0.00,0.60,0.66,5.01
3.99,0.00,2.20,0.00,5.05
4.00,0.00,-2.10,1.02,5.01
nan,nan,nan,nan,nan
4.01,0.00,1.10,16.32,4.96
4.01,0.00,1.70,0.06,5.01
4.02,0.00,3.30,1.14,4.94
4.03,0.00,0.00,0.96,4.99
4.04,0.00,1.10,1.02,4.94
4.04,0.00,-0.50,0.06,5.01
4.05,0.00,0.60,0.00,5.05
4.06,0.00,1.10,1.32,4.99
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
4.08,0.00,0.00,0.42,5.01
4.09,0.00,-1.60,0.00,5.07
nan,nan,nan,nan,nan
4.09,0.00,0.60,0.00,5.11
4.10,0.00,-0.50,1.02,5.05
4.11,0.00,0.00,1.02,5.03
4.12,0.00,-0.50,0.00,5.07
4.12,0.00,-0.50,0.00,5.09
nan,nan,nan,nan,nan
4.13,0.00,2.80,1.02,5.07
4.14,0.00,1.70,1.02,5.01
4.15,0.00,0.00,1.86,4.94
4.15,0.00,0.60,0.96,4.99
4.16,0.00,0.00,0.00,5.03
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
4.18,0.00,1.10,1.98,4.96
4.19,0.00,-1.00,0.06,5.01
4.20,0.00,2.80,0.96,4.96
4.20,0.00,2.20,1.14,4.92
4.21,0.00,1.70,0.60,4.96
4.22,0.00,-1.00,0.96,4.90
4.23,0.00,1.10,0.06,4.96
4.23,0.00,2.80,0.06,5.03
nan,nan,nan,nan,nan
